"FID_";"TABID";"POINT_X";"POINT_Y";"demH"
;1360114;7.9839;61.7065;1765
;1360115;8.0027;61.7075;1563
;1360116;8.0215;61.7085;1526
;1360117;8.0402;61.7094;1516
;1360118;8.059;61.7104;1543
;1360119;8.0778;61.7113;1615
;1360120;8.0966;61.7123;1552
;1360121;8.1154;61.7132;1481
;1360122;8.1341;61.7142;1496
;1360123;8.1529;61.7151;1436
;1360124;8.1717;61.7161;1296
;1360125;8.1905;61.717;1006
;1360126;8.2093;61.7179;829
;1360127;8.2281;61.7189;858
;1360128;8.2468;61.7198;765
;1360129;8.2656;61.7207;692
;1360130;8.2844;61.7217;782
;1360131;8.3032;61.7226;769
;1360132;8.322;61.7235;767
;1360133;8.3408;61.7244;677
;1360134;8.3596;61.7253;585
;1360135;8.3784;61.7263;726
;1360136;8.3972;61.7272;1085
;1360137;8.416;61.7281;797
;1360138;8.4348;61.729;903
;1360139;8.4536;61.7299;1200
;1360140;8.4724;61.7308;1685
;1360141;8.4912;61.7317;1701
;1360142;8.51;61.7326;1768
;1360143;8.5288;61.7335;1779
;1361309;7.986;61.6976;1563
;1361310;8.0047;61.6986;1668
;1361311;8.0235;61.6996;1470
;1361312;8.0423;61.7005;1426
;1361313;8.061;61.7015;1498
;1361314;8.0798;61.7024;1455
;1361315;8.0986;61.7034;1493
;1361316;8.1173;61.7043;1402
;1361317;8.1361;61.7053;1337
;1361318;8.1549;61.7062;1187
;1361319;8.1737;61.7072;1062
;1361320;8.1924;61.7081;883
;1361321;8.2112;61.709;975
;1361322;8.23;61.71;854
;1361323;8.2488;61.7109;1038
;1361324;8.2676;61.7118;1099
;1361325;8.2864;61.7127;1039
;1361326;8.3052;61.7137;656
;1361327;8.3239;61.7146;604
;1361328;8.3427;61.7155;676
;1361329;8.3615;61.7164;717
;1361330;8.3803;61.7173;928
;1361331;8.3991;61.7182;1003
;1361332;8.4179;61.7192;888
;1361333;8.4367;61.7201;819
;1361334;8.4555;61.721;1134
;1361335;8.4743;61.7219;1297
;1361336;8.4931;61.7228;1249
;1361337;8.5119;61.7237;1288
;1361338;8.5307;61.7245;1320
;1361339;8.5495;61.7254;1420
