*Time*          *Precip*      *Precip*     *Precip*     *Temp*         *Temp*         *Temp*
                 Selbu         Berkaak      Roros        Selbu          Berkaak        Roros      
19870921/1200    6.500000      0.600000     0.000000     5.300000       2.700000       2.000000           
19870922/1200    6.599999      15.499999    9.600000     10.000000      8.400000       6.900000           
19870923/1200    5.300000      1.500000     4.100000     10.500000      6.200000       6.900000           
19870924/1200    0.000000      0.000000     0.000000     11.200000      8.200000       7.600000           
19870925/1200    0.000000      0.000000     1.300000     9.100000       4.800000       6.600000           
19870926/1200    21.600000     4.900000     4.100000     6.600000       4.000000       4.300000           
19870927/1200    3.000000      1.300000     0.000000     3.000000       -0.700000      1.400000           
19870928/1200    5.000000      3.500000     1.000000     4.600000       2.300000       2.600000           
19870929/1200    1.000000      0.500000     0.200000     4.500000       2.500000       1.100000           
19870930/1200    0.000000      0.000000     0.000000     7.100000       6.100000       6.600000           
19871001/1200    0.000000      0.000000     0.000000     4.500000       3.500000       2.900000           
19871002/1200    0.000000      0.000000     0.000000     3.100000       2.000000       1.600000           
19871003/1200    0.000000      0.000000     0.000000     6.000000       2.600000       0.000000           
19871004/1200    0.000000      0.000000     0.000000     4.300000       1.500000       1.300000           
19871005/1200    0.000000      0.000000     0.000000     8.100000       6.300000       3.900000           
19871006/1200    0.000000      0.000000     0.000000     10.000000      7.800000       6.500000           
19871007/1200    0.400000      0.000000     2.000000     10.200000      8.100000       7.500000           
19871008/1200    14.499999     3.000000     10.900000    9.800000       7.600000       6.500000           
19871009/1200    0.000000      0.000000     4.800000     8.800000       7.600000       6.600000           
19871010/1200    6.699999      1.000000     2.000000     9.100000       7.400000       7.100000           
19871011/1200    0.000000      0.000000     0.000000     12.300000      10.500000      8.800000           
19871012/1200    0.000000      0.100000     0.200000     8.100000       6.300000       4.200000           
19871013/1200    4.400000      6.000000     9.499999     8.200000       4.800000       4.900000           
19871014/1200    0.000000      0.000000     1.700000     8.400000       5.700000       4.700000           
19871015/1200    0.000000      0.000000     0.100000     9.200000       6.400000       5.200000           
19871016/1200    0.000000      0.100000     6.400000     12.900000      10.200000      8.700000           
19871017/1200    0.000000      0.100000     1.200000     11.500000      9.500000       7.300000           
19871018/1200    0.000000      0.000000     0.000000     9.500000       7.800000       5.600000           
19871019/1200    0.000000      0.000000     0.000000     9.500000       7.500000       5.700000           
19871020/1200    0.000000      0.000000     0.000000     9.800000       7.800000       5.800000           
19871021/1200    0.000000      0.000000     0.000000     8.800000       6.700000       5.300000           
19871022/1200    0.000000      0.000000     0.000000     8.100000       5.800000       3.500000           
19871023/1200    0.000000      0.000000     0.000000     5.600000       4.100000       1.700000           
19871024/1200    0.000000      0.000000     0.100000     4.700000       2.000000       1.400000           
