*Time*            *Precip*    *Temp*
Saeternbekken
19960829/0900     0       15.45             
19960829/1000     0.36    14.4              
19960829/1100     0.82    14.25             
19960829/1200     0.31    14.65             
19960829/1300     0.61    14.7              
19960829/1400     1.02    14.75             
19960829/1500     0.71    14.9              
19960829/1600     1.94    14.95             
19960829/1700     8.26    14.95             
19960829/1800     3.88    15.05             
19960829/1900     2.65    14.4              
19960829/2000     0.2     13.75             
19960829/2100     0.31    13.75             
19960829/2200     0       13.6              
19960829/2300     0       13.4              
19960830/0000     0       12.85             
19960830/0100     0       12.45             
19960830/0200     0       12.8              
19960830/0300     0       12.95             
19960830/0400     0       12.85             
19960830/0500     0       12.75             
19960830/0600     0       12.85             
19960830/0700     0       13.2              
19960830/0800     0       13.45             
19960830/0900     0       14.45             
19960830/1000     0       16.2              
19960830/1100     0       16.3              
19960830/1200     0       18                
19960830/1300     0       19.2              
19960830/1400     0       19.15             
19960830/1500     0       18.85             
19960830/1600     0       19.25             
19960830/1700     0       16.8              
19960830/1800     0       15.15             
19960830/1900     0       15                
19960830/2000     0       14.3              
19960830/2100     3.32    12.55             
19960830/2200     4.28    12                
19960830/2300     0       11.65             
19960831/0000     0       11.65             
19960831/0100     0       12.1              
19960831/0200     0       11.95             
19960831/0300     0       12.05             
19960831/0400     0       12                
19960831/0500     0.66    11.7              
19960831/0600     0.92    11.95             
19960831/0700     0.1     12                
19960831/0800     0.82    12                
19960831/0900     0       12.45             
19960831/1000     0       13.4              
19960831/1100     0.1     13.2              
19960831/1200     0.92    13.5              
19960831/1300     0       14.95             
19960831/1400     0       15.4              
19960831/1500     0       15.75             
19960831/1600     0       14.7              
19960831/1700     0       14                
19960831/1800     0       13.7              
19960831/1900     0       12.95             
19960831/2000     0       12.65             
19960831/2100     0       12.55             
19960831/2200     0       12.6              
19960831/2300     0       12.6              
19960901/0000     0       12.5              
19960901/0100     0       12.15             
19960901/0200     0       11.65             
19960901/0300     0.36    10.55             
19960901/0400     0       10                
19960901/0500     0       9.95              
19960901/0600     0       10.1              
19960901/0700     0       10.65             
19960901/0800     0       11.85             
19960901/0900     0       13.4              
19960901/1000     0       15.8              
19960901/1100     0       16.5              
19960901/1200     0       18.05             
19960901/1300     0       19.4              
19960901/1400     0       20.6              
19960901/1500     0       17.9              
19960901/1600     0       17.7              
19960901/1700     0       16.35             
19960901/1800     0       14.1              
19960901/1900     0       12.6              
19960901/2000     0       12.15             
19960901/2100     0       11.6              
19960901/2200     0       11.45             
19960901/2300     0       11.1              
19960902/0000     0       10.8              
19960902/0100     0       10.2              
19960902/0200     0       9.9               
19960902/0300     0       10.05             
19960902/0400     0       10.05             
19960902/0500     0       10.55             
19960902/0600     0       10.95             
19960902/0700     0       11.25             
19960902/0800     0       11.85             
19960902/0900     0       12.7              
19960902/1000     0       13.75             
19960902/1100     0       17.25             
19960902/1200     0       18.25             
19960902/1300     0       18.8              
19960902/1400     0       19.25             
19960902/1500     0       17.95             
19960902/1600     0       18.15             
19960902/1700     0       15.85             
19960902/1800     0       15.15             
19960902/1900     0       13.85             
19960902/2000     0       12.9              
19960902/2100     0       12.4              
19960902/2200     0       11.8              
19960902/2300     0       12.2              
19960903/0000     0       12.25             
19960903/0100     0       11.95             
19960903/0200     0       11.8              
19960903/0300     0       12.15             
19960903/0400     0       11.5              
19960903/0500     0       11.55             
19960903/0600     0       13.1              
19960903/0700     0       15.4              
19960903/0800     0       16.8              
19960903/0900     0       18.1              
19960903/1000     0       18.7              
19960903/1100     0       19.3              
19960903/1200     0       19.9              
19960903/1300     0       21.6              
19960903/1400     0       20.95             
19960903/1500     0       19.75             
19960903/1600     0       19.6              
19960903/1700     0       17.6              
19960903/1800     0       15.95             
19960903/1900     0       14.4              
19960903/2000     0       14.05             
19960903/2100     0       12.8              
19960903/2200     0       13.1              
19960903/2300     0       13.05             
19960904/0000     0       12.7              
19960904/0100     0       12.55             
19960904/0200     0       11.75             
19960904/0300     0       10.95             
19960904/0400     0       10.3              
19960904/0500     0       10.1              
19960904/0600     0       10.7              
19960904/0700     0       13.3              
19960904/0800     0       14.15             
19960904/0900     0       14.95             
19960904/1000     0       16.3              
19960904/1100     0       16.3              
19960904/1200     0       17.35             
19960904/1300     0       18.4              
19960904/1400     0       18.4              
19960904/1500     0       17.5              
19960904/1600     0       17.75             
19960904/1700     0       15.4              
19960904/1800     0       13.9              
19960904/1900     0       12.3              
19960904/2000     0       10.75             
19960904/2100     0       10.3              
19960904/2200     0       8.6               
19960904/2300     0       7                 
19960905/0000     0       6.7               
19960905/0100     0       7.15              
19960905/0200     0       6.35              
19960905/0300     0       5.55              
19960905/0400     0       4.65              
19960905/0500     0       4.3               
19960905/0600     0       6.2               
19960905/0700     0       8.75              
19960905/0800     0       9.95              
19960905/0900     0       10.65             
19960905/1000     0       12.35             
19960905/1100     0       12.75             
19960905/1200     0       14.5              
19960905/1300     0       15.05             
19960905/1400     0       15.3              
19960905/1500     0       14.2              
19960905/1600     0       14.4              
19960905/1700     0       12                
19960905/1800     0       10.1              
19960905/1900     0       9.5               
19960905/2000     0       8.75              
19960905/2100     0       8.1               
19960905/2200     0       9                 
19960905/2300     0       9.3               
19960906/0000     0       8.55              
19960906/0100     0       8.15              
19960906/0200     0       7.6               
19960906/0300     0       7.05              
19960906/0400     0       6.7               
19960906/0500     0       6.2               
19960906/0600     0       7.2               
19960906/0700     0.36    9                 
19960906/0800     0       10.25             
19960906/0900     0       11.1              
19960906/1000     0       11.75             
19960906/1100     0       11.85             
19960906/1200     0       13.45             
19960906/1300     0       13.8              
