*Time*            *Precip*    *Temp*
Saeternbekken
19960929/1600     3.26    9.4               
19960929/1700     0.1     9.5               
19960929/1800     0       9.45              
19960929/1900     0       8.75              
19960929/2000     0       6.95              
19960929/2100     0       5.55              
19960929/2200     0       4.65              
19960929/2300     0       4.3               
19960930/0000     0       3.15              
19960930/0100     0       3                 
19960930/0200     0       2.4               
19960930/0300     0       2.6               
19960930/0400     0       2.4               
19960930/0500     0       1.95              
19960930/0600     0       2.65              
19960930/0700     0       4                 
19960930/0800     0.25    4.9               
19960930/0900     0       5.75              
19960930/1000     0       7.9               
19960930/1100     0       8.7               
19960930/1200     0       11.2              
19960930/1300     0       11.85             
19960930/1400     0       12.45             
19960930/1500     0       11.05             
19960930/1600     0       9.4               
19960930/1700     0       7.9               
19960930/1800     0       6.9               
19960930/1900     0       6.5               
19960930/2000     0       5.8               
19960930/2100     0       5.45              
19960930/2200     0       4.7               
19960930/2300     0       4.1               
19961001/0000     0       4.05              
19961001/0100     0       3.6               
19961001/0200     0       3.5               
19961001/0300     0       3.1               
19961001/0400     0       3                 
19961001/0500     0       2.3               
19961001/0600     0       2.55              
19961001/0700     0       5.3               
19961001/0800     0       7.55              
19961001/0900     0       10.2              
19961001/1000     0       11.7              
19961001/1100     0       12.3              
19961001/1200     0       13.9              
19961001/1300     0       13.95             
19961001/1400     0       13.2              
19961001/1500     0       11.65             
19961001/1600     0       10.8              
19961001/1700     0       9.15              
19961001/1800     0       7.3               
19961001/1900     0       6                 
19961001/2000     0       5.55              
19961001/2100     0       4.7               
19961001/2200     0       4.75              
19961001/2300     0       4.1               
19961002/0000     0       3.9               
19961002/0100     0       3.6               
19961002/0200     0       3.35              
19961002/0300     0       2.9               
19961002/0400     0       2.6               
19961002/0500     0       2.55              
19961002/0600     0       2.5               
19961002/0700     0       4.85              
19961002/0800     0       6.1               
19961002/0900     0       6.2               
19961002/1000     0       7.3               
19961002/1100     0       9.35              
19961002/1200     0       9.9               
19961002/1300     0       11.25             
19961002/1400     0       9.4               
19961002/1500     0       8.35              
19961002/1600     0       7                 
19961002/1700     0       5.85              
19961002/1800     0       4.55              
19961002/1900     0       4.1               
19961002/2000     0       3.85              
19961002/2100     0       3.55              
19961002/2200     0       3.95              
19961002/2300     0       3.85              
19961003/0000     0       3.4               
19961003/0100     0       2.05              
19961003/0200     0       1.65              
19961003/0300     0       0.95              
19961003/0400     0       0.95              
19961003/0500     0       0.8               
19961003/0600     0       1.55              
19961003/0700     0       2.35              
19961003/0800     0       3.35              
19961003/0900     0       4.45              
19961003/1000     0       5.1               
19961003/1100     0       5.9               
19961003/1200     0       6.6               
19961003/1300     0       7.25              
19961003/1400     0       7.35              
19961003/1500     0.46    7.05              
19961003/1600     0.31    6.9               
19961003/1700     0.92    7.45              
19961003/1800     0.71    8.45              
19961003/1900     1.53    8.85              
19961003/2000     1.84    9.25              
19961003/2100     1.12    9.5               
19961003/2200     2.45    9.7               
19961003/2300     0.82    9.9               
19961004/0000     1.07    9.95              
19961004/0100     3.16    10.1              
19961004/0200     1.22    10                
19961004/0300     0       9.55              
19961004/0400     0       9                 
19961004/0500     3.67    7.6               
19961004/0600     0.31    6.3               
19961004/0700     0       6.55              
19961004/0800     0       6.35              
19961004/0900     0       7.35              
19961004/1000     0       8.75              
19961004/1100     0       8.8               
19961004/1200     0       9.6               
19961004/1300     0       11.75             
19961004/1400     0       11.1              
19961004/1500     0       9.25              
19961004/1600     0       7.75              
19961004/1700     0       6.7               
19961004/1800     0       5.5               
19961004/1900     0       4.95              
19961004/2000     0       4.4               
19961004/2100     0       3.95              
19961004/2200     0       3.35              
19961004/2300     0       3.35              
19961005/0000     0       3.2               
19961005/0100     0       3.1               
19961005/0200     0       3.75              
19961005/0300     0       4.2               
19961005/0400     0       4.5               
19961005/0500     0       4.75              
19961005/0600     0.56    5.2               
19961005/0700     1.53    5.45              
19961005/0800     0       5.7               
19961005/0900     0       5.8               
19961005/1000     0.1     5.9               
19961005/1100     0       6.4               
19961005/1200     0       6.7               
19961005/1300     0.2     7.05              
19961005/1400     0       7.75              
19961005/1500     0       7.5               
19961005/1600     0       7.3               
19961005/1700     0       6.8               
19961005/1800     0       5.9               
19961005/1900     0       6.05              
19961005/2000     0       5.85              
19961005/2100     0       5.2               
19961005/2200     0       4.5               
19961005/2300     0       4.2               
19961006/0000     0       3.2               
19961006/0100     0       2.4               
19961006/0200     0       2.55              
19961006/0300     0       2.2               
19961006/0400     0       1.95              
19961006/0500     0       1.85              
19961006/0600     0       2.05              
19961006/0700     0       3.05              
19961006/0800     0       4.3               
19961006/0900     0       4.7               
19961006/1000     0       5.5               
19961006/1100     0       6.1               
19961006/1200     0       7.45              
19961006/1300     0       9.1               
19961006/1400     0       10.25             
19961006/1500     0       9.3               
19961006/1600     0       8.9               
19961006/1700     0       8.5               
19961006/1800     0       7.85              
19961006/1900     0       7.75              
19961006/2000     0       7.85              
19961006/2100     0       7.7               
19961006/2200     0       7.65              
19961006/2300     0       8.15              
19961007/0000     0       8.05              
19961007/0100     0       8.05              
19961007/0200     0       8.1               
19961007/0300     0       8.3               
19961007/0400     0       8.25              
19961007/0500     0       8.55              
19961007/0600     0.25    8.6               
19961007/0700     0       8.8               
19961007/0800     0       9.2               
19961007/0900     0       10.95             
19961007/1000     0       11.55             
19961007/1100     0       12.6              
19961007/1200     0       12.7              
19961007/1300     0       13                
19961007/1400     0       12.75             
19961007/1500     0       12.5              
19961007/1600     0       12                
19961007/1700     0       11.55             
19961007/1800     0       11.2              
19961007/1900     0       11.05             
19961007/2000     0.51    10.95             
19961007/2100     0.2     10.7              
19961007/2200     0       10.55             
19961007/2300     0       10.45             
19961008/0000     0       10.35             
19961008/0100     0       10.2              
19961008/0200     0       9.65              
19961008/0300     0       9.85              
19961008/0400     0       10                
19961008/0500     0       9.8               
19961008/0600     0       9.25              
19961008/0700     0       8.15              
19961008/0800     0       9.05              
19961008/0900     0       10.3              
19961008/1000     0       11.9              
19961008/1100     0       11.9              
19961008/1200     0       13.4              
19961008/1300     0       13.25             
19961008/1400     0       13.1              
19961008/1500     0       10.85             
19961008/1600     0       9.25              
19961008/1700     0       7.9               
19961008/1800     0       7.65              
19961008/1900     0       6.4               
19961008/2000     0       5.6               
19961008/2100     0       5.75              
19961008/2200     0       4.4               
19961008/2300     0       3.4               
19961009/0000     0       3.2               
19961009/0100     0       3.65              
19961009/0200     0       3.05              
19961009/0300     0       2.65              
19961009/0400     0       3.1               
19961009/0500     0       2.05              
19961009/0600     0       0.7               
19961009/0700     0       1.25              
19961009/0800     0       1.75              
19961009/0900     0       3.25              
19961009/1000     0       5.15              
19961009/1100     0       6.2               
19961009/1200     0       7.6               
19961009/1300     0       8.9               
19961009/1400     0       9.3               
19961009/1500     0       8.5               
19961009/1600     0       8.35              
19961009/1700     0.36    7.6               
19961009/1800     0.31    5.8               
19961009/1900     0       4.2               
19961009/2000     0       2.95              
19961009/2100     0       2.7               
19961009/2200     0       2.05              
19961009/2300     0       2.35              
19961010/0000     0       1.7               
19961010/0100     0       1.6               
19961010/0200     0       2.15              
19961010/0300     0       1.4               
19961010/0400     0       0.6               
19961010/0500     0       0.1               
19961010/0600     0       0.65              
19961010/0700     0       2.75              
19961010/0800     0       5.55              
19961010/0900     0       7.3               
19961010/1000     0       8.25              
19961010/1100     0       9.3               
19961010/1200     0       9.75              
19961010/1300     0       9.65              
19961010/1400     0       8.9               
19961010/1500     0       7.95              
19961010/1600     0       6.55              
19961010/1700     0       4.75              
19961010/1800     0       4.55              
19961010/1900     0       4.3               
19961010/2000     0       4.35              
19961010/2100     0       4                 
19961010/2200     0       4.05              
19961010/2300     0       3.2               
19961011/0000     0       2.3               
19961011/0100     0       2.1               
19961011/0200     0       1.65              
19961011/0300     0       1.1               
19961011/0400     0       0.95              
19961011/0500     0       0.7               
19961011/0600     0       1                 
19961011/0700     0       1.35              
19961011/0800     0       1.85              
19961011/0900     0       3.05              
19961011/1000     0       4.3               
19961011/1100     0       5.85              
19961011/1200     0       7.1               
19961011/1300     0       7.75              
19961011/1400     0       7.3               
19961011/1500     0       7.3               
19961011/1600     0       7.3               
19961011/1700     0       7.15              
19961011/1800     0       7.3               
19961011/1900     0       7.3               
19961011/2000     0       7.45              
19961011/2100     0       7.45              
19961011/2200     0       7.65              
19961011/2300     0       7.7               
19961012/0000     0.25    7.6               
19961012/0100     0       7.7               
19961012/0200     0       7.6               
19961012/0300     0       7.65              
19961012/0400     0       7.75              
19961012/0500     0       7.9               
19961012/0600     0       8.25              
19961012/0700     0       8.6               
19961012/0800     0       8.8               
19961012/0900     0       9.3               
19961012/1000     0       9.75              
19961012/1100     0       10                
19961012/1200     0       10.25             
19961012/1300     0       10.7              
19961012/1400     0.51    9.85              
19961012/1500     0.51    9.65              
19961012/1600     0       9.6               
19961012/1700     0       9.45              
19961012/1800     0       9.35              
19961012/1900     0       9.2               
19961012/2000     0       9.1               
19961012/2100     0       9.15              
19961012/2200     0       9.2               
19961012/2300     0       9.15              
19961013/0000     0       8.8               
19961013/0100     0       8.8               
19961013/0200     0       6.45              
19961013/0300     0       4.5               
19961013/0400     0       3.85              
19961013/0500     0       3.35              
19961013/0600     0       3.35              
19961013/0700     0       3.65              
19961013/0800     0       4                 
19961013/0900     0       4.35              
19961013/1000     0       4.45              
19961013/1100     0       5                 
19961013/1200     0       5.05              
19961013/1300     0       4.8               
19961013/1400     0       4.55              
19961013/1500     0       4.35              
19961013/1600     0       3.65              
19961013/1700     0       3.5               
19961013/1800     0       3.45              
19961013/1900     0       3.6               
19961013/2000     0       3.6               
19961013/2100     0       3.55              
19961013/2200     0       3.5               
19961013/2300     0       3.4               
19961014/0000     0       3.15              
19961014/0100     0       3                 
19961014/0200     0       2.85              
19961014/0300     0       2.65              
19961014/0400     0       2.65              
19961014/0500     0       2.6               
19961014/0600     0       2.9               
19961014/0700     0       3.05              
19961014/0800     0       3.2               
19961014/0900     0       3.55              
19961014/1000     0       4.05              
19961014/1100     0       4.5               
19961014/1200     0       4.65              
19961014/1300     0       4.65              
19961014/1400     0       4.65              
19961014/1500     0       4.7               
19961014/1600     0       4.75              
19961014/1700     0       4.8               
19961014/1800     0       5.15              
19961014/1900     0       5.4               
19961014/2000     0       5.4               
19961014/2100     0       5.35              
19961014/2200     0       5.3               
19961014/2300     0       5.35              
19961015/0000     0       5.55              
19961015/0100     0       5.65              
19961015/0200     0       5.75              
19961015/0300     0       5.75              
19961015/0400     0       5.9               
19961015/0500     0       6.05              
19961015/0600     0       6.15              
19961015/0700     0       6.45              
19961015/0800     0       7.05              
19961015/0900     0       7                 
19961015/1000     0       6.95              
19961015/1100     0       6.75              
19961015/1200     0       7.25              
19961015/1300     0.25    7.95              
19961015/1400     0       7.95              
19961015/1500     0       7.65              
19961015/1600     0       7.45              
19961015/1700     0       7.35              
19961015/1800     0       7                 
19961015/1900     0       7.15              
19961015/2000     0       7.2               
19961015/2100     0       7.15              
19961015/2200     0.1     7.05              
19961015/2300     0       7                 
19961016/0000     0       7                 
19961016/0100     0       7.05              
19961016/0200     0       7                 
19961016/0300     0.36    6.95              
19961016/0400     0.1     6.9               
19961016/0500     0.1     6.85              
19961016/0600     0.2     6.75              
19961016/0700     0       6.75              
19961016/0800     0       6.85              
19961016/0900     0       6.95              
19961016/1000     0       6.95              
19961016/1100     0       6.85              
19961016/1200     0       7.05              
19961016/1300     0       7                 
19961016/1400     0       7                 
19961016/1500     0       6.8               
19961016/1600     0       6.8               
19961016/1700     0       6.8               
19961016/1800     0       6.75              
19961016/1900     0       6.55              
19961016/2000     0       6.4               
19961016/2100     0       6                 
19961016/2200     0       5.85              
19961016/2300     1.02    5.65              
19961017/0000     1.89    5.7               
19961017/0100     2.24    5.8               
19961017/0200     0.51    6.05              
19961017/0300     0       6.15              
19961017/0400     1.33    6.35              
19961017/0500     1.43    6.5               
19961017/0600     2.75    6.5               
19961017/0700     3.26    6.45              
19961017/0800     2.96    6.65              
19961017/0900     2.65    6.8               
19961017/1000     0.31    7                 
19961017/1100     1.94    7.2               
19961017/1200     0.82    7.45              
19961017/1300     0.31    7.6               
19961017/1400     0.71    7.65              
19961017/1500     5       7.65              
19961017/1600     3.37    7.1               
19961017/1700     3.06    7.3               
19961017/1800     2.65    6.75              
19961017/1900     1.53    6.35              
19961017/2000     0.82    6.05              
19961017/2100     0.31    5.95              
19961017/2200     0.1     5.9               
19961017/2300     0.1     5.75              
19961018/0000     0       5.85              
19961018/0100     0       5.7               
19961018/0200     0       5.6               
19961018/0300     0       5.55              
19961018/0400     0       5.4               
19961018/0500     0       5.3               
19961018/0600     0       5.2               
19961018/0700     0       4.85              
19961018/0800     0       6                 
19961018/0900     0       6.9               
19961018/1000     0       7.9               
19961018/1100     0       8.2               
19961018/1200     0       8.85              
19961018/1300     0       8.7               
19961018/1400     0       7.6               
19961018/1500     0       6.45              
19961018/1600     0       5.2               
19961018/1700     0       4.5               
19961018/1800     0       3.85              
19961018/1900     0       3.4               
19961018/2000     0       3.25              
19961018/2100     0       3.65              
19961018/2200     0       4.25              
19961018/2300     0       4.4               
19961019/0000     0       4.8               
19961019/0100     0.25    5.35              
19961019/0200     0       6                 
19961019/0300     0       6.45              
19961019/0400     0       6.75              
19961019/0500     0       6.9               
19961019/0600     0       6.85              
19961019/0700     0       6.85              
19961019/0800     0       6.85              
19961019/0900     0       6.85              
19961019/1000     0       6.85              
19961019/1100     0       6.85              
19961019/1200     0       6.8               
19961019/1300     0       6.85              
19961019/1400     0       6.85              
19961019/1500     0       6.9               
19961019/1600     0       6.75              
19961019/1700     0       6.8               
19961019/1800     0.2     6.6               
19961019/1900     1.22    6.5               
19961019/2000     1.43    6.4               
19961019/2100     1.84    6.2               
19961019/2200     0.41    6.25              
19961019/2300     0.41    6.25              
19961020/0000     0.25    6.35              
19961020/0100     1.12    6.35              
19961020/0200     0.51    6.45              
19961020/0300     0       6.35              
19961020/0400     0       6.1               
19961020/0500     0       5.95              
19961020/0600     0       5.3               
19961020/0700     0.1     5.6               
19961020/0800     0       5.95              
19961020/0900     0       6.4               
19961020/1000     0       7.05              
19961020/1100     0       7.35              
19961020/1200     0       7.65              
19961020/1300     0       8.25              
19961020/1400     0       8.1               
19961020/1500     0       7.75              
19961020/1600     0       7.2               
19961020/1700     0       6.8               
19961020/1800     0       6.55              
19961020/1900     0       6.3               
19961020/2000     0       6.15              
19961020/2100     0       6                 
19961020/2200     0       6                 
19961020/2300     0       5.9               
19961021/0000     0       5.95              
19961021/0100     0       5.9               
19961021/0200     0       5.75              
19961021/0300     0       5.55              
19961021/0400     0       5.15              
19961021/0500     0       5.15              
19961021/0600     0       5.15              
19961021/0700     0       5.15              
19961021/0800     0       5.55              
19961021/0900     0       6                 
19961021/1000     0       6.4               
19961021/1100     0       6.55              
19961021/1200     0       7                 
19961021/1300     0       6.8               
19961021/1400     0       6.75              
19961021/1500     0       6.6               
19961021/1600     0       6.35              
19961021/1700     0       6                 
19961021/1800     0.25    5.85              
19961021/1900     0.31    5.85              
19961021/2000     0.2     5.9               
19961021/2100     0.1     5.85              
19961021/2200     0       5.85              
19961021/2300     0       5.85              
19961022/0000     0       5.7               
19961022/0100     0       5.65              
19961022/0200     0.25    5.6               
19961022/0300     0       4.65              
19961022/0400     0       4.35              
19961022/0500     0       3.8               
19961022/0600     0       3.45              
19961022/0700     0       5.3               
19961022/0800     0       5.6               
19961022/0900     0       6.45              
19961022/1000     0       7.4               
19961022/1100     0       8.8               
19961022/1200     0       9.65              
19961022/1300     0       9.25              
19961022/1400     0       8.75              
19961022/1500     0       8.05              
19961022/1600     0       6.4               
19961022/1700     0       5.55              
19961022/1800     0       4.6               
19961022/1900     0       4.2               
19961022/2000     0       4                 
19961022/2100     0       3.85              
19961022/2200     0       3.8               
19961022/2300     0       3.25              
19961023/0000     0       2.35              
19961023/0100     0       2.1               
19961023/0200     0       2                 
19961023/0300     0       1.95              
19961023/0400     0       1.15              
19961023/0500     0       1.6               
19961023/0600     0       2.45              
19961023/0700     0       2.95              
19961023/0800     0       3.25              
19961023/0900     0       3.6               
19961023/1000     0       4                 
19961023/1100     0       4.8               
19961023/1200     0       5.55              
19961023/1300     0       6.1               
19961023/1400     0       6.9               
19961023/1500     0       6.95              
19961023/1600     0       6.75              
19961023/1700     0       6.85              
19961023/1800     0       6.8               
19961023/1900     0       6.4               
19961023/2000     0       5.9               
19961023/2100     0       5.15              
19961023/2200     0       5.2               
19961023/2300     0       5.6               
19961024/0000     0       5.6               
19961024/0100     0       5.95              
19961024/0200     0       6.2               
19961024/0300     0       6.35              
19961024/0400     0       6.55              
19961024/0500     0       6.75              
19961024/0600     0       6.7               
19961024/0700     0       6.75              
19961024/0800     0       7.25              
19961024/0900     0       7.65              
19961024/1000     0       8                 
19961024/1100     0       7.9               
19961024/1200     0       7.65              
19961024/1300     0       7.65              
19961024/1400     0       7.05              
19961024/1500     0       6.75              
19961024/1600     0       6.25              
19961024/1700     0       6.05              
19961024/1800     0       5.85              
19961024/1900     0       5.85              
19961024/2000     0       5.7               
19961024/2100     0       5.7               
19961024/2200     0       5.7               
19961024/2300     0       5.7               
19961025/0000     0       5.85              
19961025/0100     0       6.15              
19961025/0200     0       6.35              
19961025/0300     0       6.1               
19961025/0400     0.25    6.2               
19961025/0500     0       6.3               
19961025/0600     0       6.25              
19961025/0700     0       6.25              
19961025/0800     0       6.35              
19961025/0900     0       6.2               
19961025/1000     0       6.05              
19961025/1100     0       6.05              
19961025/1200     0       6.1               
19961025/1300     0       6.15              
19961025/1400     0       6.1               
19961025/1500     0       6                 
19961025/1600     0       5.7               
19961025/1700     0       5.5               
19961025/1800     0       5.15              
19961025/1900     0       5                 
19961025/2000     0       4.95              
19961025/2100     0       4.95              
19961025/2200     0       4.85              
19961025/2300     0       4.8               
19961026/0000     0       4.75              
19961026/0100     0       4.55              
19961026/0200     0       4.45              
19961026/0300     0       4.35              
19961026/0400     0       4.2               
19961026/0500     0.25    4                 
19961026/0600     0.31    3.95              
19961026/0700     0.41    3.95              
19961026/0800     0.1     3.95              
19961026/0900     0.41    3.95              
19961026/1000     0.1     3.95              
19961026/1100     0.2     4                 
19961026/1200     0.41    4                 
19961026/1300     0.41    4.05              
19961026/1400     0.31    3.95              
19961026/1500     0.31    3.85              
19961026/1600     1.12    3.75              
19961026/1700     0.82    3.65              
19961026/1800     0.31    3.55              
19961026/1900     0.1     3.55              
19961026/2000     0       3.55              
19961026/2100     1.02    3.65              
19961026/2200     2.04    3.95              
19961026/2300     1.22    4.3               
19961027/0000     1.27    4.6               
19961027/0100     0.51    4.85              
19961027/0200     0       5.5               
19961027/0300     0       5.95              
19961027/0400     0.41    6.4               
19961027/0500     0.1     6.65              
19961027/0600     0       6.5               
19961027/0700     0       6                 
19961027/0800     0       6.25              
19961027/0900     0.1     6.75              
19961027/1000     0       6.75              
19961027/1100     0       6.45              
19961027/1200     0.2     6.4               
19961027/1300     0       6.8               
19961027/1400     0       6.7               
19961027/1500     1.12    6.6               
19961027/1600     0       6.45              
19961027/1700     0.51    6.15              
19961027/1800     1.43    5.9               
19961027/1900     3.47    5.4               
19961027/2000     0.51    4.9               
19961027/2100     2.65    4.5               
19961027/2200     5.1     4.3               
19961027/2300     3.16    4.35              
19961028/0000     1.38    4.75              
19961028/0100     0.2     5.15              
19961028/0200     0       4.9               
19961028/0300     0       4.8               
19961028/0400     0.1     4.75              
19961028/0500     0.2     4.8               
19961028/0600     0       4.5               
19961028/0700     0       4.4               
19961028/0800     0       4.3               
19961028/0900     0.1     4.7               
19961028/1000     0       5.45              
19961028/1100     0.1     5.8               
19961028/1200     0       5.8               
19961028/1300     0       5.75              
19961028/1400     0       5.55              
19961028/1500     0       5.45              
19961028/1600     0       5.05              
19961028/1700     0       4.9               
19961028/1800     0       4.9               
19961028/1900     0.1     4.8               
19961028/2000     0.82    4.65              
19961028/2100     1.12    4.5               
19961028/2200     1.12    5.05              
19961028/2300     1.73    5.75              
19961029/0000     1.07    6.15              
19961029/0100     0.2     6.4               
19961029/0200     0.41    6.7               
19961029/0300     1.43    6.35              
19961029/0400     0.31    5.75              
19961029/0500     0       5.5               
19961029/0600     0       5.45              
19961029/0700     0.1     5.55              
19961029/0800     0.51    5.95              
19961029/0900     1.02    6.15              
19961029/1000     0.51    5.95              
19961029/1100     0.2     5.4               
19961029/1200     2.65    5.25              
19961029/1300     1.43    4.85              
19961029/1400     2.96    4.3               
19961029/1500     0.92    4                 
19961029/1600     0.41    3.8               
19961029/1700     0.1     4.1               
19961029/1800     0       4.35              
19961029/1900     0       4.7               
19961029/2000     0       4.45              
19961029/2100     0.1     4.5               
19961029/2200     0       4.3               
19961029/2300     0       3.8               
19961030/0000     0       3.3               
19961030/0100     0       2.75              
19961030/0200     0       2.5               
19961030/0300     0       2.5               
19961030/0400     0       1.9               
19961030/0500     0       2.05              
19961030/0600     0       1.35              
19961030/0700     0       1                 
19961030/0800     0       1.25              
19961030/0900     0       2.6               
19961030/1000     0       3.45              
19961030/1100     0       4.2               
19961030/1200     0       4.85              
19961030/1300     0.36    4.8               
19961030/1400     0       3.65              
19961030/1500     0       2.65              
19961030/1600     0       1.85              
19961030/1700     0       1.6               
19961030/1800     0       0.95              
19961030/1900     0       -0.05             
19961030/2000     0       -0.7              
19961030/2100     0.1     -0.25             
19961030/2200     0       0.75              
19961030/2300     0       1.05              
19961031/0000     0       1                 
19961031/0100     0       -0.05             
19961031/0200     0       -1.15             
19961031/0300     0       -1.8              
19961031/0400     0       -2.55             
19961031/0500     0       -2.65             
19961031/0600     0       -2.95             
19961031/0700     0       -3.2              
19961031/0800     0       -1.95             
19961031/0900     0.36    0                 
19961031/1000     0       0.2               
19961031/1100     0       0.7               
19961031/1200     0.1     0.65              
19961031/1300     0       0.8               
19961031/1400     0       0.85              
19961031/1500     0       0.7               
19961031/1600     0.2     0.15              
19961031/1700     0.82    0.05              
19961031/1800     0.82    0.7               
19961031/1900     0.82    1.05              
19961031/2000     0.51    1.6               
19961031/2100     0.61    1.8               
19961031/2200     1.02    2.2               
19961031/2300     1.53    2.55              
19961101/0000     1.48    3.1               
19961101/0100     1.22    3.65              
19961101/0200     2.24    4.35              
19961101/0300     0.82    5.1               
19961101/0400     0.61    5.35              
19961101/0500     0.1     5.4               
19961101/0600     0       4.75              
19961101/0700     0       3.55              
19961101/0800     0       2.95              
19961101/0900     0.2     4.15              
19961101/1000     0       4.65              
19961101/1100     0       4.8               
19961101/1200     0       4.9               
19961101/1300     0       5.3               
19961101/1400     0       4.65              
19961101/1500     0       4.05              
19961101/1600     0       2.6               
19961101/1700     0       1.95              
19961101/1800     0       2.15              
19961101/1900     0       2.65              
19961101/2000     0       2.55              
19961101/2100     0       2.5               
19961101/2200     0       2.4               
19961101/2300     0.2     2.3               
19961102/0000     0       2.35              
19961102/0100     0       2.9               
19961102/0200     0.25    3.95              
19961102/0300     0       4.85              
19961102/0400     0.1     5.7               
19961102/0500     0       6                 
19961102/0600     0       5.8               
19961102/0700     0       5.45              
19961102/0800     0       4.9               
19961102/0900     0       4.95              
19961102/1000     0.1     6.15              
19961102/1100     0       7.65              
19961102/1200     0       9.6               
19961102/1300     0.2     11.15             
19961102/1400     0       10.95             
19961102/1500     0       10.25             
19961102/1600     0       9.35              
19961102/1700     0       8.5               
19961102/1800     0       7.4               
19961102/1900     0       7.15              
19961102/2000     0       6.95              
19961102/2100     0       6.4               
19961102/2200     0       5.95              
19961102/2300     0       5.4               
19961103/0000     0       5.4               
19961103/0100     0.25    6.05              
19961103/0200     0       6.3               
19961103/0300     0       6.6               
19961103/0400     0       6.5               
19961103/0500     0.1     7.1               
19961103/0600     0       6.75              
19961103/0700     0       6.6               
19961103/0800     0.1     6.8               
19961103/0900     0       7.05              
19961103/1000     0       7.95              
19961103/1100     0       9.15              
19961103/1200     0.1     9.8               
19961103/1300     0       9.95              
19961103/1400     0       9.85              
19961103/1500     0       9.6               
19961103/1600     0       9.4               
19961103/1700     0       9.3               
19961103/1800     0.2     9.05              
19961103/1900     2.55    8.75              
19961103/2000     2.35    7.75              
19961103/2100     0       6.85              
19961103/2200     0       6                 
19961103/2300     0.1     5.45              
19961104/0000     0       5                 
19961104/0100     0       4.55              
19961104/0200     0       3.9               
19961104/0300     0       3.8               
19961104/0400     0       3.25              
19961104/0500     0       3.25              
19961104/0600     0       2.6               
19961104/0700     0.25    2.2               
19961104/0800     0.1     2.15              
19961104/0900     0       2.7               
19961104/1000     0       3.15              
19961104/1100     0       3.45              
19961104/1200     0       4                 
19961104/1300     0       3.8               
19961104/1400     0       3.55              
19961104/1500     0       3.3               
19961104/1600     0.51    2.7               
19961104/1700     2.04    3.1               
19961104/1800     3.37    3.55              
19961104/1900     2.45    4.35              
19961104/2000     2.14    4.8               
19961104/2100     0.92    5.35              
19961104/2200     0.1     4.8               
19961104/2300     0       3                 
19961105/0000     0       1.9               
19961105/0100     0       1.35              
19961105/0200     0.25    1.85              
19961105/0300     0.1     2.4               
19961105/0400     0       2.9               
19961105/0500     0       3.1               
19961105/0600     0       3.1               
19961105/0700     0       3.15              
19961105/0800     0.31    3.75              
19961105/0900     4.9     4.3               
19961105/1000     1.73    4.8               
19961105/1100     0.2     4.95              
19961105/1200     2.55    5.2               
19961105/1300     0.1     5.35              
19961105/1400     0       5.25              
19961105/1500     0       4.95              
19961105/1600     0.31    4.6               
19961105/1700     0       4.5               
19961105/1800     0       4.6               
19961105/1900     0       4.45              
19961105/2000     0       4.2               
19961105/2100     0       3.2               
19961105/2200     0       3.05              
19961105/2300     0.2     2.85              
19961106/0000     0       2.6               
19961106/0100     0       1.95              
19961106/0200     0.25    1.5               
19961106/0300     0       0.4               
19961106/0400     0       -0.35             
19961106/0500     0.1     -0.3              
19961106/0600     0       -0.35             
19961106/0700     0       -0.3              
19961106/0800     0.71    -0.35             
19961106/0900     1.53    -0.5              
19961106/1000     1.94    -0.3              
19961106/1100     1.33    -0.2              
19961106/1200     2.55    -0.05             
19961106/1300     0.2     0.6               
19961106/1400     0       0.3               
19961106/1500     0       0.1               
19961106/1600     0       0.05              
19961106/1700     0.1     0.75              
19961106/1800     0.71    1.8               
19961106/1900     0.61    1.75              
19961106/2000     0.51    1.3               
19961106/2100     0.31    0.65              
19961106/2200     0.31    0.1               
19961106/2300     0       -0.2              
19961107/0000     0       -0.6              
19961107/0100     0       -1.05             
19961107/0200     0       -1.5              
19961107/0300     0.36    -1.55             
19961107/0400     0       -1.15             
19961107/0500     0       -1.3              
19961107/0600     0       -1.1              
19961107/0700     0       -1.25             
19961107/0800     0       -0.65             
19961107/0900     0       0.15              
19961107/1000     0       0.45              
19961107/1100     0       0.9               
19961107/1200     0       1.3               
19961107/1300     0       1.2               
19961107/1400     0       0.75              
19961107/1500     0       0.45              
19961107/1600     0       -1                
19961107/1700     0       -1.6              
19961107/1800     0       -1.95             
19961107/1900     0       -1.75             
19961107/2000     0.1     -1.95             
19961107/2100     0       -2.35             
19961107/2200     0       -2.2              
19961107/2300     0       -2.15             
19961108/0000     0       -2.4              
19961108/0100     0       -2.95             
19961108/0200     0       -3.5              
19961108/0300     0       -3.8              
19961108/0400     0       -4.3              
19961108/0500     0.25    -4.1              
19961108/0600     0       -3.6              
19961108/0700     0       -3.5              
19961108/0800     0       -2.6              
19961108/0900     0.2     -2.15             
19961108/1000     0       -2.5              
19961108/1100     0       -0.95             
19961108/1200     0       0.85              
19961108/1300     0       1.05              
19961108/1400     0       0.75              
19961108/1500     0       0.35              
19961108/1600     0       -0.25             
19961108/1700     0       -1.3              
19961108/1800     0       -1.05             
19961108/1900     0       -2.15             
19961108/2000     0       -2.5              
19961108/2100     0       -2                
19961108/2200     0       -1.8              
19961108/2300     0       -1.75             
19961109/0000     0       -1.65             
